profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
222,18,3,1,139,300,15,0.5,60,20,1,0,0,1,0
662,18,3,2,139,200,15,0.5,60,30,0,1,0,1,0
0,18,3,3,139,0,0,0,0,0,0,0,0,0,1
320,18,4,1,140,200,15,1,70,20,0,1,1,0,0
1095,18,4,2,140,300,15,0.5,60,40,0,1,0,1,0
0,18,4,3,140,0,0,0,0,0,0,0,0,0,1
787,18,5,1,141,100,15,4,70,30,0,1,1,0,0
463,18,5,2,141,100,15,1,50,30,0,1,1,0,0
0,18,5,3,141,0,0,0,0,0,0,0,0,0,1
987,18,6,1,142,300,15,2,50,40,0,1,0,1,0
97,18,6,2,142,100,20,1,50,20,1,0,0,1,0
0,18,6,3,142,0,0,0,0,0,0,0,0,0,1
398,18,7,1,143,200,10,2,70,20,1,0,0,1,0
764,18,7,2,143,200,20,2,70,30,1,0,1,0,0
0,18,7,3,143,0,0,0,0,0,0,0,0,0,1
1126,18,8,1,144,100,10,2,60,40,0,1,0,1,0
1043,18,8,2,144,200,20,1,60,40,0,1,1,0,0
0,18,8,3,144,0,0,0,0,0,0,0,0,0,1
257,19,1,1,145,200,15,2,60,20,1,0,0,1,0
555,19,1,2,145,300,15,2,50,30,0,1,0,1,0
0,19,1,3,145,0,0,0,0,0,0,0,0,0,1
486,19,2,1,146,300,20,2,50,30,0,1,1,0,0
155,19,2,2,146,200,10,0.5,60,20,0,1,1,0,0
0,19,2,3,146,0,0,0,0,0,0,0,0,0,1
1261,19,3,1,147,100,10,2,70,40,1,0,0,1,0
535,19,3,2,147,100,15,1,50,30,0,1,0,1,0
0,19,3,3,147,0,0,0,0,0,0,0,0,0,1
678,19,4,1,148,300,10,1,60,30,0,1,0,1,0
680,19,4,2,148,200,15,1,60,30,0,1,0,1,0
0,19,4,3,148,0,0,0,0,0,0,0,0,0,1
967,19,5,1,149,100,15,1,50,40,0,1,0,1,0
1284,19,5,2,149,300,15,4,70,40,1,0,0,1,0
0,19,5,3,149,0,0,0,0,0,0,0,0,0,1
