profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
0,12,5,3,93,0,0,0,0,0,0,0,0,0,1
666,12,6,1,94,300,20,0.5,60,30,0,1,0,1,0
165,12,6,2,94,300,10,1,60,20,1,0,1,0,0
0,12,6,3,94,0,0,0,0,0,0,0,0,0,1
1154,12,7,1,95,200,10,0.5,70,40,1,0,1,0,0
291,12,7,2,95,300,10,0.5,70,20,1,0,1,0,0
0,12,7,3,95,0,0,0,0,0,0,0,0,0,1
89,12,8,1,96,200,20,0.5,50,20,0,1,0,1,0
424,12,8,2,96,100,10,4,70,20,0,1,0,1,0
0,12,8,3,96,0,0,0,0,0,0,0,0,0,1
749,13,1,1,97,200,10,1,70,30,0,1,1,0,0
1003,13,1,2,97,100,15,4,50,40,0,1,0,1,0
0,13,1,3,97,0,0,0,0,0,0,0,0,0,1
613,13,2,1,98,100,10,2,60,30,1,0,1,0,0
446,13,2,2,98,200,15,0.5,50,30,0,1,1,0,0
0,13,2,3,98,0,0,0,0,0,0,0,0,0,1
613,13,3,1,99,100,10,2,60,30,1,0,1,0,0
887,13,3,2,99,200,15,1,50,40,1,0,1,0,0
0,13,3,3,99,0,0,0,0,0,0,0,0,0,1
400,13,4,1,100,100,15,2,70,20,1,0,0,1,0
350,13,4,2,100,200,20,4,70,20,1,0,1,0,0
0,13,4,3,100,0,0,0,0,0,0,0,0,0,1
41,13,5,1,101,200,15,2,50,20,1,0,1,0,0
556,13,5,2,101,100,20,2,50,30,0,1,0,1,0
0,13,5,3,101,0,0,0,0,0,0,0,0,0,1
717,13,6,1,102,300,15,4,60,30,0,1,0,1,0
162,13,6,2,102,300,20,0.5,60,20,0,1,1,0,0
0,13,6,3,102,0,0,0,0,0,0,0,0,0,1
1001,13,7,1,103,200,10,4,50,40,0,1,0,1,0
724,13,7,2,103,100,15,0.5,70,30,1,0,1,0,0
0,13,7,3,103,0,0,0,0,0,0,0,0,0,1
529,13,8,1,104,100,20,1,50,30,1,0,0,1,0
1107,13,8,2,104,300,20,1,60,40,1,0,0,1,0
0,13,8,3,104,0,0,0,0,0,0,0,0,0,1
527,14,1,1,105,200,15,1,50,30,1,0,0,1,0
278,14,1,2,105,200,20,4,60,20,1,0,0,1,0
0,14,1,3,105,0,0,0,0,0,0,0,0,0,1
1050,14,2,1,106,300,15,2,60,40,1,0,1,0,0
681,14,2,2,106,300,15,1,60,30,0,1,0,1,0
0,14,2,3,106,0,0,0,0,0,0,0,0,0,1
777,14,3,1,107,300,10,4,70,30,1,0,1,0,0
1279,14,3,2,107,100,10,4,70,40,1,0,0,1,0
0,14,3,3,107,0,0,0,0,0,0,0,0,0,1
580,14,4,1,108,100,15,0.5,60,30,1,0,1,0,0
983,14,4,2,108,200,10,2,50,40,0,1,0,1,0
0,14,4,3,108,0,0,0,0,0,0,0,0,0,1
1272,14,5,1,109,300,10,2,70,40,0,1,0,1,0
952,14,5,2,109,100,20,0.5,50,40,0,1,0,1,0
0,14,5,3,109,0,0,0,0,0,0,0,0,0,1
1051,14,6,1,110,100,20,2,60,40,1,0,1,0,0
1063,14,6,2,110,100,10,4,60,40,1,0,1,0,0
0,14,6,3,110,0,0,0,0,0,0,0,0,0,1
513,14,7,1,111,300,20,0.5,50,30,1,0,0,1,0
508,14,7,2,111,100,15,0.5,50,30,1,0,0,1,0
0,14,7,3,111,0,0,0,0,0,0,0,0,0,1
1024,14,8,1,112,100,20,0.5,60,40,0,1,1,0,0
